age,workclass,educational-num,occupation,gender,hours-per-week,income
31,Private,10,Exec-managerial,Female,40,<=50K
44,Private,10,Transport-moving,Male,45,<=50K
42,Self-emp-inc,15,Prof-specialty,Female,50,>50K
19,Private,9,Machine-op-inspct,Female,40,<=50K
27,Private,9,Handlers-cleaners,Male,40,>50K
51,Local-gov,10,Protective-serv,Male,40,>50K
28,Self-emp-inc,13,Exec-managerial,Male,50,<=50K
57,Private,13,Craft-repair,Male,45,<=50K
45,Local-gov,13,Prof-specialty,Female,40,<=50K
50,Private,11,Prof-specialty,Male,40,>50K
34,Self-emp-inc,13,Sales,Male,54,<=50K
45,Private,4,Craft-repair,Male,40,<=50K
73,Local-gov,9,Exec-managerial,Male,20,<=50K
34,Private,13,Prof-specialty,Female,50,>50K
31,Private,10,Sales,Male,55,>50K
19,Private,7,Sales,Male,12,<=50K
25,Private,10,Other-service,Female,50,<=50K
38,Federal-gov,11,Craft-repair,Female,40,<=50K
39,Private,13,Transport-moving,Male,40,<=50K
23,Private,13,Tech-support,Female,32,<=50K
49,Private,9,Machine-op-inspct,Male,40,<=50K
33,Federal-gov,9,Other-service,Male,32,<=50K
21,Private,3,Machine-op-inspct,Male,38,<=50K
31,Private,11,Craft-repair,Male,40,<=50K
23,Private,13,Exec-managerial,Female,45,<=50K
34,Private,13,Adm-clerical,Male,40,<=50K
25,Private,9,Machine-op-inspct,Female,40,<=50K
39,Private,9,Craft-repair,Male,40,<=50K
52,Self-emp-inc,9,Sales,Male,40,>50K
63,Local-gov,5,Transport-moving,Male,40,>50K
41,Private,10,Craft-repair,Male,40,<=50K
46,Private,13,Prof-specialty,Male,38,>50K
53,Local-gov,9,Exec-managerial,Male,40,<=50K
25,?,5,?,Female,40,<=50K
77,?,10,?,Male,35,<=50K
18,Private,8,Priv-house-serv,Male,40,<=50K
38,Private,15,Prof-specialty,Male,50,<=50K
55,Private,14,Exec-managerial,Female,50,<=50K
34,Private,9,Tech-support,Male,40,>50K
80,Self-emp-not-inc,9,Other-service,Male,30,<=50K
34,Private,11,Tech-support,Female,60,<=50K
52,Private,10,Tech-support,Male,40,<=50K
42,Private,9,Other-service,Female,28,<=50K
26,Private,10,Sales,Female,40,<=50K
31,Private,9,Transport-moving,Male,40,<=50K
25,Local-gov,9,Other-service,Female,35,<=50K
55,Self-emp-not-inc,9,Craft-repair,Male,60,<=50K
19,Private,10,Other-service,Female,12,<=50K
62,Self-emp-not-inc,10,Transport-moving,Male,32,<=50K
22,Federal-gov,10,Adm-clerical,Female,20,<=50K
39,?,9,?,Female,50,<=50K
35,Private,9,Handlers-cleaners,Male,40,<=50K
28,Private,9,Sales,Female,40,<=50K
47,Private,9,Transport-moving,Male,70,>50K
44,State-gov,9,Machine-op-inspct,Male,40,<=50K
21,Private,10,Sales,Male,15,<=50K
35,Private,11,Craft-repair,Male,50,<=50K
24,Private,13,Prof-specialty,Male,40,>50K
42,Federal-gov,13,Prof-specialty,Male,40,<=50K
28,Private,13,Tech-support,Male,50,<=50K
21,Private,10,Machine-op-inspct,Male,35,<=50K
62,Federal-gov,10,Tech-support,Male,40,<=50K
39,Private,9,Other-service,Female,40,<=50K
30,State-gov,9,Other-service,Male,40,<=50K
72,Self-emp-not-inc,15,Prof-specialty,Male,20,<=50K
50,Private,10,Exec-managerial,Female,50,<=50K
28,Local-gov,14,Prof-specialty,Male,40,<=50K
29,Private,10,Prof-specialty,Female,40,<=50K
26,Private,13,Adm-clerical,Female,40,<=50K
27,Private,14,Exec-managerial,Female,40,<=50K
29,Private,10,Handlers-cleaners,Male,40,>50K
61,?,9,?,Male,40,<=50K
29,Private,6,Craft-repair,Male,25,<=50K
21,?,10,?,Female,30,<=50K
31,Private,7,Sales,Female,20,<=50K
25,Private,9,Exec-managerial,Male,75,<=50K
58,Private,6,Transport-moving,Male,40,>50K
64,Private,10,Exec-managerial,Female,40,>50K
46,State-gov,14,Exec-managerial,Male,38,<=50K
53,?,9,?,Male,35,>50K
19,Private,9,Other-service,Female,35,<=50K
42,Private,9,Other-service,Male,52,<=50K
18,Private,7,Handlers-cleaners,Male,24,<=50K
58,Self-emp-inc,13,Craft-repair,Male,50,>50K
20,Private,10,Protective-serv,Male,60,<=50K
35,Federal-gov,9,Craft-repair,Male,40,>50K
32,Private,9,Handlers-cleaners,Male,38,>50K
23,Private,9,Handlers-cleaners,Female,25,<=50K
31,Private,10,Tech-support,Female,40,<=50K
33,Private,13,Sales,Male,55,<=50K
41,Private,10,Machine-op-inspct,Female,48,<=50K
22,Private,9,Machine-op-inspct,Male,40,<=50K
46,Private,10,Protective-serv,Male,40,>50K
61,Federal-gov,10,Transport-moving,Male,40,<=50K
30,Private,9,Exec-managerial,Male,40,<=50K
42,Private,9,Exec-managerial,Male,55,>50K
63,Private,6,Handlers-cleaners,Male,40,<=50K
26,Private,10,Sales,Male,40,<=50K
42,Private,6,Adm-clerical,Female,40,<=50K
23,Private,10,Other-service,Male,40,<=50K
25,Private,9,Machine-op-inspct,Male,40,<=50K
30,Private,5,Other-service,Male,32,>50K
23,Private,9,Sales,Male,40,<=50K
34,Self-emp-not-inc,11,Farming-fishing,Male,60,>50K
30,Private,9,Machine-op-inspct,Male,48,<=50K
39,Private,10,Craft-repair,Male,40,>50K
30,Private,7,Handlers-cleaners,Male,38,<=50K
38,Local-gov,10,Adm-clerical,Female,38,<=50K
26,Private,9,Exec-managerial,Female,40,<=50K
20,Private,10,Handlers-cleaners,Male,16,<=50K
37,Local-gov,13,Prof-specialty,Male,40,<=50K
33,Private,9,Adm-clerical,Female,40,<=50K
24,Private,13,Adm-clerical,Male,40,<=50K
42,Self-emp-inc,13,Exec-managerial,Male,60,>50K
51,Self-emp-not-inc,9,Sales,Male,84,<=50K
56,Local-gov,12,Tech-support,Male,45,>50K
22,Private,10,Handlers-cleaners,Male,40,<=50K
52,Self-emp-not-inc,10,Farming-fishing,Male,60,<=50K
44,Private,13,Exec-managerial,Female,45,>50K
34,Private,9,Adm-clerical,Female,35,<=50K
51,Private,10,Craft-repair,Male,42,>50K
20,?,10,?,Male,40,<=50K
19,Private,10,Sales,Female,25,<=50K
37,Private,13,Exec-managerial,Male,40,>50K
68,Private,9,Machine-op-inspct,Male,40,>50K
22,Private,10,Protective-serv,Male,40,<=50K
56,Self-emp-inc,13,Exec-managerial,Male,40,<=50K
37,Private,9,Craft-repair,Male,40,<=50K
52,Private,2,Machine-op-inspct,Male,40,<=50K
26,Private,9,Handlers-cleaners,Male,40,<=50K
33,Private,14,Prof-specialty,Male,50,<=50K
45,Local-gov,14,Prof-specialty,Female,42,<=50K
18,Private,7,Other-service,Male,15,<=50K
43,Self-emp-not-inc,10,Farming-fishing,Male,60,>50K
64,Self-emp-not-inc,16,Prof-specialty,Male,50,>50K
18,Private,9,Handlers-cleaners,Male,20,<=50K
20,?,10,?,Male,45,<=50K
57,Private,9,Craft-repair,Male,40,>50K
41,Private,9,Adm-clerical,Female,42,<=50K
34,Private,14,Exec-managerial,Male,50,>50K
19,Private,9,Sales,Female,40,<=50K
44,Private,5,Other-service,Female,55,<=50K
56,Private,6,Other-service,Female,40,<=50K
36,Self-emp-inc,9,Farming-fishing,Male,80,<=50K
48,Private,13,Exec-managerial,Female,48,<=50K
29,Private,9,Transport-moving,Male,40,>50K
33,Private,13,Craft-repair,Male,40,<=50K
31,Private,3,Other-service,Male,40,<=50K
39,Private,14,Prof-specialty,Male,45,>50K
66,Private,9,Exec-managerial,Male,40,>50K
27,Private,13,Prof-specialty,Female,50,>50K
39,Private,9,Exec-managerial,Female,40,>50K
59,Private,4,Craft-repair,Male,50,>50K
26,Private,9,Other-service,Female,40,<=50K
31,Private,11,Craft-repair,Male,40,<=50K
45,?,9,?,Female,40,<=50K
23,Private,9,Handlers-cleaners,Male,30,<=50K
36,Local-gov,9,Adm-clerical,Female,40,<=50K
34,Private,10,Other-service,Female,12,>50K
32,Private,9,Transport-moving,Male,84,>50K
37,Private,13,Prof-specialty,Male,50,>50K
33,Private,13,Sales,Male,45,<=50K
50,Self-emp-not-inc,15,Prof-specialty,Male,80,>50K
32,Federal-gov,12,Protective-serv,Male,40,<=50K
35,Private,13,Adm-clerical,Female,40,<=50K
37,Private,7,Craft-repair,Male,40,<=50K
44,Private,10,Craft-repair,Male,60,<=50K
57,Private,10,Handlers-cleaners,Male,25,<=50K
29,Local-gov,10,Exec-managerial,Female,40,<=50K
55,Private,9,Craft-repair,Male,50,>50K
43,Self-emp-inc,15,Prof-specialty,Male,25,>50K
43,Private,10,Sales,Male,70,<=50K
45,Self-emp-not-inc,10,Sales,Male,60,>50K
33,Self-emp-not-inc,14,Prof-specialty,Female,8,<=50K
26,Private,6,Other-service,Female,40,<=50K
23,Private,10,Sales,Male,68,<=50K
41,Private,4,Craft-repair,Male,40,<=50K
24,Private,9,Craft-repair,Male,40,<=50K
47,Self-emp-not-inc,13,Sales,Male,44,<=50K
34,Self-emp-not-inc,9,Craft-repair,Male,45,<=50K
40,Private,9,Exec-managerial,Male,40,>50K
28,Private,13,Prof-specialty,Female,40,<=50K
24,Private,9,Exec-managerial,Female,40,<=50K
73,?,10,?,Male,10,<=50K
23,Private,9,Craft-repair,Male,15,<=50K
43,Self-emp-not-inc,9,Exec-managerial,Male,40,>50K
26,Private,13,Tech-support,Female,40,<=50K
58,Self-emp-not-inc,16,Exec-managerial,Female,35,>50K
52,Private,9,Adm-clerical,Female,35,<=50K
29,Private,7,Transport-moving,Male,99,>50K
47,Private,7,Other-service,Male,35,<=50K
49,Private,9,Adm-clerical,Female,37,<=50K
40,Private,7,Adm-clerical,Female,40,<=50K
62,Self-emp-not-inc,9,Adm-clerical,Female,40,<=50K
49,Private,9,Exec-managerial,Male,55,>50K
50,Private,13,Prof-specialty,Female,50,>50K
31,Private,9,Transport-moving,Male,40,<=50K
48,Local-gov,14,Prof-specialty,Female,50,<=50K
24,Private,9,Craft-repair,Female,40,<=50K
41,?,9,?,Female,40,<=50K
37,Private,9,Machine-op-inspct,Male,60,<=50K
45,Private,13,Exec-managerial,Male,45,>50K
63,?,9,?,Male,16,<=50K
36,Private,14,Exec-managerial,Male,45,<=50K
45,Private,13,Exec-managerial,Male,40,<=50K
41,Private,13,Sales,Female,40,<=50K
26,Private,12,Tech-support,Female,20,<=50K
17,Private,7,Sales,Female,25,<=50K
27,Private,9,Other-service,Male,36,<=50K
43,Private,9,Machine-op-inspct,Male,65,<=50K
35,Private,9,Transport-moving,Male,55,<=50K
38,Private,13,Adm-clerical,Female,40,<=50K
26,Private,9,Machine-op-inspct,Male,40,<=50K
28,Private,10,Exec-managerial,Female,40,<=50K
38,Private,13,Prof-specialty,Female,24,>50K
36,Private,7,Transport-moving,Female,40,<=50K
33,Private,9,Adm-clerical,Female,40,>50K
19,Private,9,Handlers-cleaners,Male,70,<=50K
22,?,12,?,Male,25,<=50K
42,Federal-gov,6,Adm-clerical,Male,40,<=50K
50,Private,6,Transport-moving,Male,40,>50K
30,Private,9,Handlers-cleaners,Male,30,<=50K
37,State-gov,10,Prof-specialty,Male,40,<=50K
54,Self-emp-inc,15,Prof-specialty,Male,40,>50K
52,Self-emp-inc,13,Exec-managerial,Male,40,<=50K
65,Private,2,Handlers-cleaners,Male,40,<=50K
33,Private,9,Craft-repair,Female,40,<=50K
25,Private,10,Tech-support,Male,40,<=50K
24,Private,13,Sales,Male,45,<=50K
26,Private,11,Adm-clerical,Female,40,<=50K
39,Private,9,Adm-clerical,Male,40,>50K
59,Private,9,Other-service,Female,40,<=50K
29,Private,10,Adm-clerical,Female,40,<=50K
47,Private,7,Other-service,Female,45,<=50K
23,?,10,?,Female,35,<=50K
64,Self-emp-inc,9,Transport-moving,Male,50,<=50K
21,Private,9,Other-service,Male,20,<=50K
32,Private,10,Adm-clerical,Female,40,>50K
26,Private,9,Exec-managerial,Female,37,<=50K
19,?,10,?,Female,20,<=50K
62,Self-emp-not-inc,14,Prof-specialty,Male,40,<=50K
32,Private,13,Craft-repair,Male,55,>50K
75,?,6,?,Female,5,<=50K
45,Self-emp-not-inc,9,Exec-managerial,Male,60,<=50K
31,Private,13,Exec-managerial,Male,50,>50K
32,Private,9,Adm-clerical,Male,40,<=50K
24,Private,13,Sales,Male,40,<=50K
25,Private,13,Sales,Female,40,<=50K
41,Self-emp-not-inc,9,Exec-managerial,Male,60,<=50K
18,Private,10,Sales,Female,20,<=50K
44,Private,16,Prof-specialty,Male,55,>50K
40,Private,10,Exec-managerial,Male,50,<=50K
27,Private,13,Prof-specialty,Male,40,<=50K
23,Private,13,Adm-clerical,Male,40,<=50K
21,Private,10,Adm-clerical,Male,40,<=50K
37,State-gov,9,Transport-moving,Male,40,<=50K
65,Self-emp-not-inc,9,Farming-fishing,Male,48,<=50K
43,Federal-gov,14,Prof-specialty,Male,40,>50K
45,Private,9,Adm-clerical,Male,44,<=50K
24,State-gov,13,Exec-managerial,Female,40,<=50K
24,Private,10,Machine-op-inspct,Male,42,<=50K
19,Local-gov,10,Protective-serv,Male,35,<=50K
37,Private,13,Prof-specialty,Male,65,>50K
24,Private,9,Adm-clerical,Female,35,<=50K
34,Private,10,Machine-op-inspct,Male,40,<=50K
50,State-gov,9,Other-service,Female,39,<=50K
36,Private,9,Craft-repair,Male,40,<=50K
39,Private,13,Sales,Male,60,<=50K
44,Self-emp-not-inc,4,Craft-repair,Male,38,<=50K
45,State-gov,9,Other-service,Male,40,<=50K
32,State-gov,7,Protective-serv,Male,40,<=50K
47,Federal-gov,14,Exec-managerial,Male,40,>50K
50,Private,9,Machine-op-inspct,Male,40,<=50K
32,Private,11,Other-service,Male,40,<=50K
19,Private,9,Handlers-cleaners,Male,40,<=50K
19,?,10,?,Female,20,<=50K
28,State-gov,14,Prof-specialty,Male,10,<=50K
28,Private,9,Sales,Male,50,<=50K
39,Federal-gov,14,Prof-specialty,Male,40,>50K
21,Private,10,Other-service,Male,40,<=50K
73,Self-emp-not-inc,10,Farming-fishing,Female,75,<=50K
39,Private,4,Other-service,Male,40,<=50K
25,Private,10,Machine-op-inspct,Male,40,<=50K
31,Private,10,Sales,Female,20,<=50K
51,Private,10,Sales,Female,32,<=50K
39,Private,13,Adm-clerical,Female,28,<=50K
31,Private,13,Handlers-cleaners,Male,40,<=50K
21,Private,10,Sales,Male,17,<=50K
46,Private,13,Exec-managerial,Male,50,>50K
73,Private,9,Exec-managerial,Female,35,<=50K
41,Private,9,Craft-repair,Male,40,<=50K
20,Private,9,Transport-moving,Male,40,<=50K
27,Private,12,Other-service,Male,30,<=50K
24,Private,13,Prof-specialty,Male,35,<=50K
20,Private,10,Craft-repair,Male,40,<=50K
39,Private,11,Machine-op-inspct,Male,40,<=50K
27,Private,13,Handlers-cleaners,Male,28,<=50K
33,Private,7,Sales,Male,60,<=50K
33,Private,9,Handlers-cleaners,Male,40,<=50K
36,State-gov,5,Craft-repair,Male,40,<=50K
55,Private,10,Exec-managerial,Male,36,<=50K
19,Private,10,Machine-op-inspct,Male,40,<=50K
35,Private,9,Exec-managerial,Male,60,<=50K
34,Private,3,Machine-op-inspct,Male,40,<=50K
62,State-gov,15,Prof-specialty,Female,35,<=50K
33,Self-emp-not-inc,10,Craft-repair,Male,40,>50K
39,Private,5,Craft-repair,Male,55,<=50K
36,Local-gov,10,Tech-support,Male,40,<=50K
41,Private,13,Adm-clerical,Female,33,<=50K
39,Self-emp-not-inc,9,Craft-repair,Male,60,<=50K
38,?,9,?,Female,10,>50K
18,Private,9,Adm-clerical,Female,10,<=50K
61,Private,10,Exec-managerial,Male,45,>50K
20,Federal-gov,11,Adm-clerical,Female,36,<=50K
35,Self-emp-not-inc,9,Transport-moving,Male,65,>50K
27,Private,9,Machine-op-inspct,Male,40,<=50K
66,Private,6,Other-service,Female,38,<=50K
21,Private,9,Transport-moving,Male,40,<=50K
20,Private,10,Other-service,Female,18,<=50K
34,Private,10,Adm-clerical,Male,40,<=50K
63,Private,3,Priv-house-serv,Female,50,<=50K
20,?,9,?,Male,40,<=50K
31,Private,9,Tech-support,Female,40,<=50K
41,Private,16,Prof-specialty,Male,60,<=50K
64,State-gov,2,Farming-fishing,Male,45,<=50K
32,Private,13,Exec-managerial,Female,40,<=50K
30,Local-gov,9,Transport-moving,Male,50,>50K
36,Self-emp-not-inc,13,Farming-fishing,Male,72,<=50K
22,Private,10,Farming-fishing,Male,12,<=50K
53,Local-gov,10,Exec-managerial,Male,50,<=50K
50,Private,9,Adm-clerical,Female,40,<=50K
36,Private,13,Exec-managerial,Male,40,<=50K
41,Self-emp-inc,7,Exec-managerial,Male,40,<=50K
55,Private,13,Exec-managerial,Female,35,<=50K
38,Private,13,Sales,Male,50,>50K
28,Private,13,Exec-managerial,Male,50,<=50K
24,Local-gov,13,Prof-specialty,Female,37,<=50K
60,Private,10,Adm-clerical,Female,40,<=50K
54,Private,6,Other-service,Male,40,<=50K
27,Self-emp-inc,9,Craft-repair,Male,60,<=50K
30,Private,14,Prof-specialty,Female,30,<=50K
54,Private,9,Transport-moving,Male,45,<=50K
44,Private,10,Craft-repair,Male,40,>50K
52,Private,9,Transport-moving,Male,60,>50K
18,Private,7,Other-service,Male,20,<=50K
55,Private,4,Transport-moving,Male,50,<=50K
35,Private,13,Prof-specialty,Male,50,>50K
37,Private,13,Exec-managerial,Female,40,>50K
22,Private,10,Adm-clerical,Female,40,<=50K
45,Private,13,Exec-managerial,Male,45,>50K
38,Private,13,Farming-fishing,Male,60,<=50K
48,Private,13,Prof-specialty,Male,40,<=50K
35,Private,11,Other-service,Male,40,<=50K
21,Private,11,Craft-repair,Male,50,<=50K
37,Self-emp-not-inc,9,Craft-repair,Male,60,>50K
18,Private,7,Sales,Male,25,<=50K
26,Private,6,Machine-op-inspct,Male,35,<=50K
48,Self-emp-inc,13,Craft-repair,Male,50,<=50K
51,Private,10,Adm-clerical,Male,40,>50K
52,Private,10,Craft-repair,Male,40,<=50K
32,State-gov,13,Farming-fishing,Male,40,>50K
39,Self-emp-not-inc,13,Other-service,Male,60,<=50K
51,Private,13,Prof-specialty,Male,40,>50K
